InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG80-6-2.dat,80,6,0.250,0.3,0.2,1000,true,0.256,12246.7686,0.9298,2
GG80-6-2.dat,80,6,0.250,0.3,0.1,1000,true,0.255,12246.7686,0.9298,2
GG80-7-2.dat,80,7,0.125,0.5,0.3,1000,true,0.361,10158.3080,0.6128,2
GG80-7-2.dat,80,7,0.125,0.5,0.2,1000,true,0.370,10186.5448,0.9928,2
GG80-7-2.dat,80,7,0.125,0.5,0.1,1000,true,0.381,10186.5448,0.9928,2
GG80-7-2.dat,80,7,0.125,0.4,0.3,1000,true,0.360,10302.8791,0.9810,2
GG80-7-2.dat,80,7,0.125,0.4,0.2,1000,true,0.361,10302.8791,0.9810,2
GG80-7-2.dat,80,7,0.125,0.4,0.1,1000,true,0.367,10302.8791,0.9810,2
GG80-7-2.dat,80,7,0.125,0.3,0.3,1000,true,0.366,10400.4601,0.9588,2
GG80-7-2.dat,80,7,0.125,0.3,0.2,1000,true,0.362,10400.4601,0.9588,2
GG80-7-2.dat,80,7,0.125,0.3,0.1,1000,true,0.365,10400.4601,0.9588,2
GG80-7-2.dat,80,7,0.250,0.5,0.3,1000,true,0.275,10164.4624,0.8030,2
GG80-7-2.dat,80,7,0.250,0.5,0.2,1000,true,0.288,10164.4624,0.8030,2
GG80-7-2.dat,80,7,0.250,0.5,0.1,1000,true,0.296,10261.7552,0.8950,2
GG80-7-2.dat,80,7,0.250,0.4,0.3,1000,true,0.301,10340.0992,0.7514,2
GG80-7-2.dat,80,7,0.250,0.4,0.2,1000,true,0.365,10337.8776,0.8664,2
GG80-7-2.dat,80,7,0.250,0.4,0.1,1000,true,0.425,10400.4601,0.9812,2
GG80-7-2.dat,80,7,0.250,0.3,0.3,1000,true,0.325,10513.4575,0.6972,2
GG80-7-2.dat,80,7,0.250,0.3,0.2,1000,true,0.391,10623.9148,0.8280,2
GG80-7-2.dat,80,7,0.250,0.3,0.1,1000,true,0.491,10606.7857,0.9762,2
GG80-8-3.dat,80,8,0.125,0.5,0.3,1000,true,0.399,9979.1712,0.9906,2
GG80-8-3.dat,80,8,0.125,0.5,0.2,1000,true,0.390,9979.1712,0.9906,2
GG80-8-3.dat,80,8,0.125,0.5,0.1,1000,true,0.411,9979.1712,0.9906,2
GG80-8-3.dat,80,8,0.125,0.4,0.3,1000,true,0.418,9990.7842,0.9838,2
GG80-8-3.dat,80,8,0.125,0.4,0.2,1000,true,0.402,9990.7842,0.9838,2
GG80-8-3.dat,80,8,0.125,0.4,0.1,1000,true,0.405,9990.7842,0.9838,2
GG80-8-3.dat,80,8,0.125,0.3,0.3,1000,true,0.479,10290.7919,0.9940,2
GG80-8-3.dat,80,8,0.125,0.3,0.2,1000,true,0.479,10290.7919,0.9940,2
GG80-8-3.dat,80,8,0.125,0.3,0.1,1000,true,0.470,10290.7919,0.9940,2
GG80-8-3.dat,80,8,0.250,0.5,0.3,1000,true,0.628,9793.7543,0.7698,2
GG80-8-3.dat,80,8,0.250,0.5,0.2,1000,true,0.836,9822.3273,0.8760,2
GG80-8-3.dat,80,8,0.250,0.5,0.1,1000,true,1.177,9801.2748,0.8760,2
GG80-8-3.dat,80,8,0.250,0.4,0.3,1000,true,0.867,10006.7357,0.7752,2
GG80-8-3.dat,80,8,0.250,0.4,0.2,1000,true,0.748,10178.3844,0.8862,2
GG80-8-3.dat,80,8,0.250,0.4,0.1,1000,true,0.998,9829.1417,0.8768,2
GG80-8-3.dat,80,8,0.250,0.3,0.3,1000,true,1.134,10289.1116,0.8760,2
GG80-8-3.dat,80,8,0.250,0.3,0.2,1000,true,2.257,10036.0893,0.8800,2
GG80-8-3.dat,80,8,0.250,0.3,0.1,1000,true,2.868,10469.7954,0.9888,2
