PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
49,10043.5653084707,Null,Null,Null,Null,Null,Null,14671.2503550393,Null,5296.3234369507,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,104.9289989710,Null,18577.9494497241,5696.5295271200,Null,Null,Null,Null,Null,6100.7083392211
50,8422.9667676676,Null,Null,Null,Null,Null,Null,15891.1074671059,Null,6189.8271607599,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1467.6968180428,Null,18288.1844942491,4978.6085618225,Null,Null,Null,Null,Null,4979.6546798318
51,Null,Null,Null,Null,Null,Null,1625.1658199166,Null,Null,Null,Null,14777.6164456433,Null,Null,Null,Null,Null,Null,Null,192.2587734241,Null,10412.3806656758,Null,Null,Null,Null,Null,Null,Null,Null
52,Null,Null,Null,Null,Null,Null,2237.5807199339,Null,Null,Null,Null,15008.5100763017,Null,Null,Null,Null,Null,Null,Null,14.5192949352,Null,10707.6568557797,Null,Null,Null,Null,Null,Null,Null,Null
53,Null,Null,Null,Null,Null,Null,1847.3026355507,Null,Null,Null,Null,13386.5481623970,Null,Null,Null,Null,Null,Null,Null,2229.3651377987,Null,10196.0510016550,Null,Null,Null,Null,Null,Null,Null,Null
54,6431.4946413915,Null,Null,Null,Null,Null,8693.1580690000,Null,Null,Null,Null,16765.4241991390,Null,Null,Null,Null,Null,Null,8463.2248468941,4078.0443697531,Null,Null,Null,Null,Null,Null,Null,11232.3334962848,Null,8581.4382523154
55,4664.8632423977,Null,Null,Null,Null,Null,Null,Null,Null,7801.2465883654,Null,Null,Null,Null,Null,Null,Null,Null,6138.9479612010,Null,4729.8660377496,Null,14973.1201891476,7290.9432408554,Null,Null,Null,Null,Null,4065.4772143695
56,4880.1964722645,Null,Null,Null,Null,Null,9764.1219593788,Null,Null,Null,Null,14178.0853420484,Null,Null,Null,Null,Null,Null,Null,2417.7938630251,Null,Null,Null,Null,Null,Null,Null,8000.8379421886,Null,Null
57,4279.7761777025,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,13656.0686566126,Null,Null,Null,Null,Null,Null,Null,3562.2303380624,Null,Null,Null,Null,Null,Null,Null,6756.9408544336,Null,Null
58,Null,Null,Null,Null,Null,Null,Null,15341.7492412196,Null,11155.7200058474,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1190.7697777587,Null,16401.9245765915,Null,Null,Null,Null,Null,Null,8551.0339459396
59,Null,Null,Null,Null,Null,Null,Null,15193.2530259262,Null,1006.3480184425,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.1247823683,Null,16554.0916245661,Null,Null,Null,Null,Null,Null,7626.7524359426
60,4052.3345579524,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,16671.0748610319,Null,Null,Null,Null,Null,Null,Null,7399.3496448633,Null,Null,Null,6498.4134670416,Null,Null,Null,4861.8011375579,Null,6484.6824325081
61,5122.8911395784,Null,Null,Null,Null,Null,Null,18671.9229798865,Null,8301.3253000885,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3160.5095491810,Null,17886.9546607072,4399.8248766876,Null,Null,Null,Null,Null,3187.1328708009
62,1222.1483199989,Null,Null,Null,Null,Null,Null,Null,Null,12235.5698706990,Null,Null,Null,Null,Null,Null,Null,Null,7043.8950232421,Null,8498.5079409079,Null,Null,6238.6618815228,Null,Null,Null,8641.0217174942,Null,2210.1453599123
63,Null,Null,Null,Null,Null,728.2136058918,Null,Null,Null,20454.8773277866,Null,Null,Null,Null,Null,5106.9704003058,Null,Null,7418.9621746157,Null,Null,Null,7.3052943560,Null,Null,Null,Null,Null,Null,Null
64,Null,26556.8372028308,Null,8803.6870622632,Null,Null,Null,Null,7665.6727648904,Null,Null,Null,Null,1724.1473960490,Null,Null,5546.6582184934,Null,Null,Null,Null,Null,Null,Null,14852.0269710097,Null,4754.8219791133,Null,Null,Null
