
============================================================
处理日期: 2022-01-10
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 150/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20220110.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20220110.csv
进度: 78.7879% (15600/19800) [Region:161, Point:2500] 已用: 0.1s, 剩余: 0.0s
进度: 79.2929% (15700/19800) [Region:102, Point:2655] 已用: 0.1s, 剩余: 0.0s
进度: 79.7980% (15800/19800) [Region:104, Point:1275] 已用: 0.1s, 剩余: 0.0s
进度: 80.8081% (16000/19800) [Region:121, Point:2083] 已用: 0.1s, 剩余: 0.0s
进度: 80.3030% (15900/19800) [Region:100, Point:3034] 已用: 0.1s, 剩余: 0.0s
进度: 81.8182% (16200/19800) [Region:122, Point:664] 已用: 0.1s, 剩余: 0.0s
进度: 81.3131% (16100/19800) [Region:56, Point:274] 已用: 0.1s, 剩余: 0.0s
进度: 83.3333% (16500/19800) [Region:123, Point:2065] 已用: 0.1s, 剩余: 0.0s
进度: 82.8283% (16400/19800) [Region:100, Point:3831] 已用: 0.1s, 剩余: 0.0s
进度: 82.3232% (16300/19800) [Region:104, Point:413] 已用: 0.1s, 剩余: 0.0s
进度: 83.8384% (16600/19800) [Region:124, Point:2477] 已用: 0.1s, 剩余: 0.0s
进度: 84.3434% (16700/19800) [Region:105, Point:1991] 已用: 0.1s, 剩余: 0.0s
进度: 84.8485% (16800/19800) [Region:113, Point:3750] 已用: 0.1s, 剩余: 0.0s
进度: 85.3535% (16900/19800) [Region:110, Point:3241] 已用: 0.1s, 剩余: 0.0s
进度: 85.8586% (17000/19800) [Region:114, Point:2470] 已用: 0.1s, 剩余: 0.0s
进度: 86.3636% (17100/19800) [Region:120, Point:857] 已用: 0.1s, 剩余: 0.0s
进度: 86.8687% (17200/19800) [Region:112, Point:1288] 已用: 0.1s, 剩余: 0.0s
进度: 87.3737% (17300/19800) [Region:109, Point:1472] 已用: 0.1s, 剩余: 0.0s
进度: 87.8788% (17400/19800) [Region:109, Point:2451] 已用: 0.1s, 剩余: 0.0s
进度: 88.3838% (17500/19800) [Region:106, Point:1463] 已用: 0.1s, 剩余: 0.0s
进度: 88.8889% (17600/19800) [Region:111, Point:696] 已用: 0.1s, 剩余: 0.0s
进度: 89.3939% (17700/19800) [Region:118, Point:3751] 已用: 0.1s, 剩余: 0.0s
进度: 89.8990% (17800/19800) [Region:116, Point:3273] 已用: 0.1s, 剩余: 0.0s
进度: 90.4040% (17900/19800) [Region:117, Point:2966] 已用: 0.1s, 剩余: 0.0s
进度: 90.9091% (18000/19800) [Region:32, Point:808] 已用: 0.1s, 剩余: 0.0s
进度: 91.4141% (18100/19800) [Region:157, Point:352] 已用: 0.1s, 剩余: 0.0s
进度: 91.9192% (18200/19800) [Region:39, Point:2003] 已用: 0.1s, 剩余: 0.0s
进度: 92.4242% (18300/19800) [Region:32, Point:502] 已用: 0.1s, 剩余: 0.0s
进度: 92.9293% (18400/19800) [Region:11, Point:3625] 已用: 0.1s, 剩余: 0.0s
进度: 93.4343% (18500/19800) [Region:33, Point:3511] 已用: 0.1s, 剩余: 0.0s
进度: 93.9394% (18600/19800) [Region:94, Point:247] 已用: 0.1s, 剩余: 0.0s
进度: 94.4444% (18700/19800) [Region:108, Point:2400] 已用: 0.1s, 剩余: 0.0s
进度: 94.9495% (18800/19800) [Region:57, Point:422] 已用: 0.1s, 剩余: 0.0s
进度: 95.4545% (18900/19800) [Region:115, Point:407] 已用: 0.2s, 剩余: 0.0s
进度: 95.9596% (19000/19800) [Region:58, Point:901] 已用: 0.2s, 剩余: 0.0s
进度: 96.4646% (19100/19800) [Region:95, Point:3209] 已用: 0.2s, 剩余: 0.0s
进度: 96.9697% (19200/19800) [Region:96, Point:3949] 已用: 0.2s, 剩余: 0.0s
进度: 97.4747% (19300/19800) [Region:97, Point:3733] 已用: 0.2s, 剩余: 0.0s
进度: 97.9798% (19400/19800) [Region:157, Point:369] 已用: 0.2s, 剩余: 0.0s
进度: 98.4848% (19500/19800) [Region:163, Point:1084] 已用: 0.3s, 剩余: 0.0s
进度: 98.9899% (19600/19800) [Region:158, Point:3842] 已用: 0.3s, 剩余: 0.0s
[最后200任务] Region:158, Point:1638, 进度:19601/19800
[最后200任务] Region:158, Point:2567, 进度:19602/19800
[最后200任务] Region:158, Point:3600, 进度:19603/19800
[最后200任务] Region:158, Point:2887, 进度:19604/19800
[最后200任务] Region:158, Point:3972, 进度:19605/19800
[最后200任务] Region:158, Point:3353, 进度:19606/19800
[最后200任务] Region:158, Point:2625, 进度:19607/19800
[最后200任务] Region:158, Point:2671, 进度:19608/19800
[最后200任务] Region:158, Point:2696, 进度:19609/19800
[最后200任务] Region:158, Point:3591, 进度:19610/19800
[最后200任务] Region:158, Point:1617, 进度:19611/19800
[最后200任务] Region:158, Point:2034, 进度:19612/19800
[最后200任务] Region:158, Point:1598, 进度:19613/19800
[最后200任务] Region:158, Point:2658, 进度:19614/19800
[最后200任务] Region:158, Point:3403, 进度:19615/19800
[最后200任务] Region:158, Point:1821, 进度:19616/19800
[最后200任务] Region:158, Point:2310, 进度:19617/19800
[最后200任务] Region:158, Point:2380, 进度:19618/19800
[最后200任务] Region:158, Point:2994, 进度:19619/19800
[最后200任务] Region:158, Point:3331, 进度:19620/19800
[最后200任务] Region:158, Point:1437, 进度:19621/19800
[最后200任务] Region:158, Point:2692, 进度:19622/19800
[最后200任务] Region:158, Point:3396, 进度:19623/19800
[最后200任务] Region:158, Point:1541, 进度:19624/19800
[最后200任务] Region:158, Point:1520, 进度:19625/19800
[最后200任务] Region:158, Point:1599, 进度:19626/19800
[最后200任务] Region:158, Point:3336, 进度:19627/19800
[最后200任务] Region:158, Point:2498, 进度:19628/19800
[最后200任务] Region:158, Point:1716, 进度:19629/19800
[最后200任务] Region:158, Point:1596, 进度:19630/19800
[最后200任务] Region:158, Point:2563, 进度:19631/19800
[最后200任务] Region:158, Point:3918, 进度:19632/19800
[最后200任务] Region:158, Point:1513, 进度:19633/19800
[最后200任务] Region:158, Point:1498, 进度:19634/19800
[最后200任务] Region:158, Point:2464, 进度:19635/19800
[最后200任务] Region:158, Point:3734, 进度:19636/19800
[最后200任务] Region:158, Point:1842, 进度:19637/19800
[最后200任务] Region:158, Point:1483, 进度:19638/19800
[最后200任务] Region:158, Point:1574, 进度:19639/19800
[最后200任务] Region:158, Point:3834, 进度:19640/19800
[最后200任务] Region:158, Point:3581, 进度:19641/19800
[最后200任务] Region:158, Point:3332, 进度:19642/19800
[最后200任务] Region:158, Point:3204, 进度:19643/19800
[最后200任务] Region:158, Point:2421, 进度:19644/19800
[最后200任务] Region:158, Point:2687, 进度:19645/19800
[最后200任务] Region:163, Point:2955, 进度:19646/19800
[最后200任务] Region:163, Point:125, 进度:19647/19800
[最后200任务] Region:163, Point:987, 进度:19648/19800
[最后200任务] Region:163, Point:166, 进度:19649/19800
[最后200任务] Region:163, Point:398, 进度:19650/19800
[最后200任务] Region:163, Point:304, 进度:19651/19800
[最后200任务] Region:163, Point:70, 进度:19652/19800
[最后200任务] Region:163, Point:261, 进度:19653/19800
[最后200任务] Region:163, Point:1316, 进度:19654/19800
[最后200任务] Region:163, Point:402, 进度:19655/19800
