
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

进度: 70.7071% (14000/19800) [Region:3, Point:515] 已用: 0.1s, 剩余: 0.0s
进度: 71.2121% (14100/19800) [Region:130, Point:291] 已用: 0.1s, 剩余: 0.0s
进度: 71.7172% (14200/19800) [Region:3, Point:413] 已用: 0.1s, 剩余: 0.0s
进度: 72.7273% (14400/19800) [Region:126, Point:1779] 已用: 0.1s, 剩余: 0.0s
进度: 73.2323% (14500/19800) [Region:127, Point:2430] 已用: 0.1s, 剩余: 0.0s
进度: 73.7374% (14600/19800) [Region:127, Point:3933] 已用: 0.1s, 剩余: 0.0s
进度: 74.2424% (14700/19800) [Region:125, Point:2810] 已用: 0.1s, 剩余: 0.0s
进度: 74.7475% (14800/19800) [Region:135, Point:2220] 已用: 0.1s, 剩余: 0.0s
进度: 75.2525% (14900/19800) [Region:134, Point:3605] 已用: 0.1s, 剩余: 0.0s
进度: 72.2222% (14300/19800) [Region:94, Point:1003] 已用: 0.1s, 剩余: 0.0s
进度: 76.2626% (15100/19800) [Region:134, Point:607] 已用: 0.1s, 剩余: 0.0s
进度: 75.7576% (15000/19800) [Region:188, Point:3838] 已用: 0.1s, 剩余: 0.0s
进度: 76.7677% (15200/19800) [Region:134, Point:771] 已用: 0.1s, 剩余: 0.0s
进度: 77.2727% (15300/19800) [Region:1, Point:3039] 已用: 0.1s, 剩余: 0.0s
进度: 77.7778% (15400/19800) [Region:136, Point:3067] 已用: 0.1s, 剩余: 0.0s
进度: 78.2828% (15500/19800) [Region:2, Point:1486] 已用: 0.1s, 剩余: 0.0s
进度: 78.7879% (15600/19800) [Region:5, Point:2863] 已用: 0.1s, 剩余: 0.0s
进度: 79.2929% (15700/19800) [Region:5, Point:2025] 已用: 0.1s, 剩余: 0.0s
进度: 79.7980% (15800/19800) [Region:0, Point:512] 已用: 0.1s, 剩余: 0.0s
进度: 80.3030% (15900/19800) [Region:0, Point:543] 已用: 0.1s, 剩余: 0.0s
进度: 80.8081% (16000/19800) [Region:0, Point:3147] 已用: 0.1s, 剩余: 0.0s
