
============================================================
处理日期: 2022-12-19
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 808/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20221219.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20221219.csv

进度: 58.0808% (11500/19800) [Region:133, Point:994] 已用: 1.6s, 剩余: 1.1s
进度: 59.0909% (11700/19800) [Region:82, Point:3196] 已用: 1.6s, 剩余: 1.1s
进度: 59.5960% (11800/19800) [Region:107, Point:466] 已用: 1.6s, 剩余: 1.1s
进度: 60.1010% (11900/19800) [Region:144, Point:376] 已用: 1.7s, 剩余: 1.1s
进度: 60.6061% (12000/19800) [Region:147, Point:3020] 已用: 1.7s, 剩余: 1.1s
进度: 61.6162% (12200/19800) [Region:137, Point:2308] 已用: 1.8s, 剩余: 1.1s
进度: 62.1212% (12300/19800) [Region:141, Point:1480] 已用: 1.9s, 剩余: 1.1s
进度: 61.1111% (12100/19800) [Region:126, Point:1874] 已用: 1.9s, 剩余: 1.2s
进度: 62.6263% (12400/19800) [Region:145, Point:740] 已用: 1.9s, 剩余: 1.1s
进度: 63.1313% (12500/19800) [Region:145, Point:27] 已用: 1.9s, 剩余: 1.1s
进度: 63.6364% (12600/19800) [Region:93, Point:777] 已用: 1.9s, 剩余: 1.1s
进度: 64.1414% (12700/19800) [Region:85, Point:3719] 已用: 1.9s, 剩余: 1.1s
进度: 64.6465% (12800/19800) [Region:133, Point:1116] 已用: 2.0s, 剩余: 1.1s
进度: 65.1515% (12900/19800) [Region:78, Point:2642] 已用: 2.0s, 剩余: 1.1s
进度: 65.6566% (13000/19800) [Region:78, Point:1966] 已用: 2.1s, 剩余: 1.1s
进度: 66.1616% (13100/19800) [Region:76, Point:3277] 已用: 2.1s, 剩余: 1.1s
进度: 66.6667% (13200/19800) [Region:76, Point:2746] 已用: 2.1s, 剩余: 1.1s
进度: 67.1717% (13300/19800) [Region:85, Point:611] 已用: 2.2s, 剩余: 1.1s
进度: 67.6768% (13400/19800) [Region:120, Point:3058] 已用: 2.2s, 剩余: 1.1s
进度: 68.1818% (13500/19800) [Region:85, Point:609] 已用: 2.3s, 剩余: 1.1s
进度: 68.6869% (13600/19800) [Region:83, Point:325] 已用: 2.3s, 剩余: 1.0s
进度: 69.1919% (13700/19800) [Region:86, Point:2672] 已用: 2.3s, 剩余: 1.0s
进度: 69.6970% (13800/19800) [Region:120, Point:177] 已用: 2.3s, 剩余: 1.0s
进度: 70.2020% (13900/19800) [Region:77, Point:2576] 已用: 2.4s, 剩余: 1.0s
进度: 70.7071% (14000/19800) [Region:118, Point:1356] 已用: 2.4s, 剩余: 1.0s
进度: 71.2121% (14100/19800) [Region:153, Point:2904] 已用: 2.4s, 剩余: 1.0s
进度: 71.7172% (14200/19800) [Region:153, Point:1525] 已用: 2.4s, 剩余: 1.0s
进度: 72.2222% (14300/19800) [Region:154, Point:1808] 已用: 2.5s, 剩余: 0.9s
进度: 73.2323% (14500/19800) [Region:126, Point:1897] 已用: 2.5s, 剩余: 0.9s
进度: 73.7374% (14600/19800) [Region:120, Point:3745] 已用: 2.5s, 剩余: 0.9s
进度: 74.2424% (14700/19800) [Region:127, Point:2176] 已用: 2.5s, 剩余: 0.9s
进度: 74.7475% (14800/19800) [Region:160, Point:3825] 已用: 2.6s, 剩余: 0.9s
进度: 75.2525% (14900/19800) [Region:134, Point:977] 已用: 2.6s, 剩余: 0.8s
进度: 75.7576% (15000/19800) [Region:33, Point:3191] 已用: 2.6s, 剩余: 0.8s
进度: 76.2626% (15100/19800) [Region:95, Point:3890] 已用: 2.6s, 剩余: 0.8s
进度: 76.7677% (15200/19800) [Region:33, Point:1283] 已用: 2.6s, 剩余: 0.8s
进度: 77.2727% (15300/19800) [Region:194, Point:1806] 已用: 2.6s, 剩余: 0.8s
进度: 77.7778% (15400/19800) [Region:161, Point:1878] 已用: 2.6s, 剩余: 0.8s
进度: 78.2828% (15500/19800) [Region:190, Point:2924] 已用: 2.7s, 剩余: 0.7s
进度: 78.7879% (15600/19800) [Region:161, Point:2000] 已用: 2.7s, 剩余: 0.7s
进度: 79.2929% (15700/19800) [Region:191, Point:1502] 已用: 2.7s, 剩余: 0.7s
进度: 79.7980% (15800/19800) [Region:171, Point:1970] 已用: 2.7s, 剩余: 0.7s
进度: 80.3030% (15900/19800) [Region:159, Point:3203] 已用: 2.7s, 剩余: 0.7s
进度: 80.8081% (16000/19800) [Region:156, Point:201] 已用: 2.7s, 剩余: 0.6s
进度: 81.3131% (16100/19800) [Region:176, Point:903] 已用: 2.7s, 剩余: 0.6s
进度: 81.8182% (16200/19800) [Region:159, Point:3112] 已用: 2.7s, 剩余: 0.6s
进度: 82.3232% (16300/19800) [Region:162, Point:3717] 已用: 2.8s, 剩余: 0.6s
进度: 82.8283% (16400/19800) [Region:175, Point:2561] 已用: 2.8s, 剩余: 0.6s
进度: 83.3333% (16500/19800) [Region:178, Point:1211] 已用: 2.8s, 剩余: 0.6s
进度: 83.8384% (16600/19800) [Region:157, Point:1131] 已用: 2.8s, 剩余: 0.5s
进度: 84.3434% (16700/19800) [Region:179, Point:1758] 已用: 2.8s, 剩余: 0.5s
进度: 84.8485% (16800/19800) [Region:180, Point:3268] 已用: 2.8s, 剩余: 0.5s
进度: 85.3535% (16900/19800) [Region:162, Point:457] 已用: 2.8s, 剩余: 0.5s
进度: 85.8586% (17000/19800) [Region:173, Point:3122] 已用: 2.8s, 剩余: 0.5s
进度: 72.7273% (14400/19800) [Region:123, Point:2128] 已用: 2.8s, 剩余: 1.1s
进度: 86.3636% (17100/19800) [Region:173, Point:1478] 已用: 2.8s, 剩余: 0.4s
