
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
[最后200任务] Region:157, Point:394, 进度:19631/19800
[最后200任务] Region:157, Point:296, 进度:19632/19800
[最后200任务] Region:157, Point:420, 进度:19633/19800
[最后200任务] Region:157, Point:1358, 进度:19634/19800
[最后200任务] Region:120, Point:351, 进度:19635/19800
[最后200任务] Region:189, Point:538, 进度:19636/19800
[最后200任务] Region:189, Point:463, 进度:19637/19800
[最后200任务] Region:157, Point:2946, 进度:19638/19800
[最后200任务] Region:189, Point:526, 进度:19639/19800
[最后200任务] Region:157, Point:3107, 进度:19640/19800
[最后200任务] Region:157, Point:0, 进度:19641/19800
[最后200任务] Region:189, Point:766, 进度:19642/19800
[最后200任务] Region:189, Point:491, 进度:19643/19800
[最后200任务] Region:189, Point:554, 进度:19644/19800
[最后200任务] Region:189, Point:474, 进度:19645/19800
[最后200任务] Region:189, Point:3487, 进度:19646/19800
[最后200任务] Region:189, Point:724, 进度:19647/19800
[最后200任务] Region:189, Point:810, 进度:19648/19800
[最后200任务] Region:189, Point:478, 进度:19649/19800
[最后200任务] Region:189, Point:2838, 进度:19650/19800
[最后200任务] Region:189, Point:1344, 进度:19651/19800
[最后200任务] Region:189, Point:968, 进度:19652/19800
[最后200任务] Region:189, Point:502, 进度:19653/19800
[最后200任务] Region:157, Point:1, 进度:19654/19800
[最后200任务] Region:157, Point:302, 进度:19655/19800
[最后200任务] Region:157, Point:537, 进度:19656/19800
[最后200任务] Region:157, Point:671, 进度:19657/19800
[最后200任务] Region:157, Point:189, 进度:19658/19800
[最后200任务] Region:157, Point:28, 进度:19659/19800
[最后200任务] Region:189, Point:504, 进度:19660/19800
[最后200任务] Region:158, Point:3513, 进度:19661/19800
[最后200任务] Region:158, Point:1505, 进度:19662/19800
