InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,true,true,1,249.056,-1.0000,-1.0000,false,-1,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,false,2.00,4.00,false,true,true,2,18.521,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,false,true,1,0.317,241927.5411,0.9910,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,false,true,2,1.070,250102.5943,0.9950,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,true,1,0.522,245428.0867,0.9420,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,true,2,6.152,-1.0000,-1.0000,false,-1,100,3
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,false,true,1,0.174,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,false,true,2,0.115,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,true,true,1,12.608,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,false,2.00,4.00,false,true,true,2,16.310,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,false,true,1,2.021,252602.5975,0.9970,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,false,true,2,2.088,254496.5239,0.9992,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,true,1,11.056,-1.0000,-1.0000,false,-1,100,3
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,true,2,7.023,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,false,true,1,0.277,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,false,true,2,0.164,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,true,true,1,12.605,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,false,2.00,4.00,false,true,true,2,14.326,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,false,true,1,2.974,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,false,true,2,0.272,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,true,1,6.972,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,true,2,6.511,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,false,true,1,0.243,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,false,true,2,0.147,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,true,true,1,12.874,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,false,2.00,4.00,false,true,true,2,14.144,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,false,true,1,0.285,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,false,true,2,0.130,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,true,1,7.448,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,true,2,6.167,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,true,1,0.198,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,false,true,2,0.132,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,true,true,1,11.597,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,false,2.00,4.00,false,true,true,2,13.307,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,true,1,1.343,280451.6817,0.9810,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,true,2,5.524,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,true,1,6.644,277189.2950,0.8482,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,true,2,0.471,268735.7494,0.9274,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,true,1,0.432,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,true,2,0.106,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,true,1,13.231,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,true,2,14.859,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,true,1,2.094,325436.3063,0.9946,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,false,true,2,0.645,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,true,1,6.018,-1.0000,-1.0000,false,-1,100,3
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,true,2,7.058,280451.6817,0.9908,true,-1,7,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,true,1,0.437,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,false,true,2,0.110,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,true,true,1,11.171,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,false,2.00,4.00,false,true,true,2,16.212,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,true,1,1.147,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,true,2,0.410,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,true,1,15.005,-1.0000,-1.0000,false,-1,83,4
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,true,2,13.345,-1.0000,-1.0000,false,-1,83,4
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,true,1,1.103,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,true,2,0.290,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,true,1,21.703,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,true,2,22.687,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,true,1,1.009,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,false,true,2,0.231,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,true,1,6.073,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,true,2,5.377,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,true,1,0.748,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,false,true,2,0.209,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,true,true,1,17.665,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,false,2.00,4.00,false,true,true,2,19.283,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,true,1,26.250,-1.0000,-1.0000,false,3,-1,4
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,true,2,575.893,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,true,1,11.919,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,true,2,684.849,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,true,1,5.031,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,true,2,626.961,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,true,1,27.432,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,true,2,612.857,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,true,1,4.183,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,false,true,2,584.027,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,true,1,8.009,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,true,2,597.050,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,true,1,7.647,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,false,true,2,606.374,-1.0000,-1.0000,false,3,-1,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,true,true,1,18.028,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,false,2.00,4.00,false,true,true,2,582.031,-1.0000,-1.0000,false,-1,100,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,false,true,1,4.566,-1.0000,-1.0000,false,3,-1,2
